ProteinIds	Gene Name	Protein Description	Tissue Specificity	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Subcellular Location[CC]	Protein	log2FC	Label2	Imputed.FDR
A0A0B4J1Y9	IGHV3-72	Immunoglobulin heavy variable 3-72		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A0B4J1Y9	-1.2234793893287	northstar-vital	0.48384443753786
A0A0C4DH24	IGKV6-21	Immunoglobulin kappa variable 6-21		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]		SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A0C4DH24	0.187475056326853	northstar-vital	0.7364172048074642
A0A0C4DH25	IGKV3D-20	Immunoglobulin kappa variable 3D-20		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]		SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A0C4DH25	0.0888113549775369	northstar-vital	0.8064716758957909
A0A0C4DH29	IGHV1-3	Immunoglobulin heavy variable 1-3		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A0C4DH29	0.812886289726655	northstar-vital	0.156643852788982
A0A0C4DH31	IGHV1-18	Immunoglobulin heavy variable 1-18		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A0C4DH31	0.808542234549779	northstar-vital	0.4002337874509121
A0A0C4DH34	IGHV4-28	Immunoglobulin heavy variable 4-28		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A0C4DH34	0.8542926126274609	northstar-vital	0.680910325221245
A0A0C4DH36	IGHV3-38	Probable non-functional immunoglobulin heavy variable 3-38		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A0C4DH36	0.128437136739841	northstar-vital	0.342079751649631
A0A0C4DH38	IGHV5-51	Immunoglobulin heavy variable 5-51		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A0C4DH38	0.50600600679261	northstar-vital	0.106396000389958
A0A0C4DH43	IGHV2-70D	Immunoglobulin heavy variable 2-70D		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A0C4DH43	0.0685987888228361	northstar-vital	0.947636625342606
A0A0J9YX35	IGHV3-64D	Immunoglobulin heavy variable 3-64D		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0A0J9YX35	0.0113225296821789	northstar-vital	0.983722153041426
A0M8Q6	IGLC7	Immunoglobulin lambda constant 7 (Ig lambda-7 chain C region)		adaptive immune response [GO:0002250]; B cell receptor signaling pathway [GO:0050853]; immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; extracellular space [GO:0005615]; IgA immunoglobulin complex [GO:0071745]; IgD immunoglobulin complex [GO:0071738]; IgE immunoglobulin complex [GO:0071742]; IgG immunoglobulin complex [GO:0071735]; IgM immunoglobulin complex [GO:0071753]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	A0M8Q6	-1.54677513424329	northstar-vital	0.509662483216146
B2RUZ4	SMIM1	Small integral membrane protein 1 (Vel blood group antigen)	TISSUE SPECIFICITY: Highly expressed in the bone marrow and expressed at lower levels in non-hematopoietic tissues. Highly expressed in erythroleukemia cell lines. Up-regulated in CD34+ hematopoietic progenitors cultured toward red blood cells. {ECO:0000269|PubMed:23563606}.		cell surface [GO:0009986]; plasma membrane [GO:0005886]	protein homodimerization activity [GO:0042803]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:26452714}; Single-pass type II membrane protein {ECO:0000269|PubMed:26452714}.	B2RUZ4	0.25492009131792	northstar-vital	0.8473029523398109
B9A064	IGLL5	Immunoglobulin lambda-like polypeptide 5 (G lambda-1) (Germline immunoglobulin lambda 1)	TISSUE SPECIFICITY: Contrary to IGLL1, not expressed in pre-B-cells. {ECO:0000269|PubMed:1703205, ECO:0000269|PubMed:1900243}.	immunoglobulin mediated immune response [GO:0016064]	extracellular exosome [GO:0070062]; IgG immunoglobulin complex [GO:0071735]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.	B9A064	-0.188341263147798	northstar-vital	0.71545135766581
O00116	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal (Alkyl-DHAP synthase) (EC 2.5.1.26) (Aging-associated gene 5 protein) (Alkylglycerone-phosphate synthase)		ether lipid biosynthetic process [GO:0008611]; lipid biosynthetic process [GO:0008610]	cytosol [GO:0005829]; membrane [GO:0016020]; mitochondrion [GO:0005739]; peroxisomal matrix [GO:0005782]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]	alkylglycerone-phosphate synthase activity [GO:0008609]; FAD binding [GO:0071949]	SUBCELLULAR LOCATION: Peroxisome membrane {ECO:0000250|UniProtKB:P97275}. Peroxisome {ECO:0000250|UniProtKB:P97275}.	O00116	-0.453628455873087	northstar-vital	0.530260665476247
O00264	PGRMC1	Membrane-associated progesterone receptor component 1 (mPR) (Dap1) (IZA)	TISSUE SPECIFICITY: Detected in urine (at protein level) (PubMed:36213313, PubMed:37453717). Expressed by endometrial glands and stroma (at protein level) (PubMed:23793472). Widely expressed, with highest expression in liver and kidney. {ECO:0000269|PubMed:23793472, ECO:0000269|PubMed:36213313}.	associative learning [GO:0008306]; axon guidance [GO:0007411]; heme biosynthetic process [GO:0006783]; memory [GO:0007613]; modification of synaptic structure [GO:0099563]; negative regulation of synapse organization [GO:1905809]; positive regulation of lipoprotein transport [GO:0140077]; positive regulation of protein localization to plasma membrane [GO:1903078]	cell body [GO:0044297]; endomembrane system [GO:0012505]; endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; smooth endoplasmic reticulum membrane [GO:0030868]; specific granule membrane [GO:0035579]; synapse [GO:0045202]	amyloid-beta binding [GO:0001540]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; steroid binding [GO:0005496]	SUBCELLULAR LOCATION: Microsome membrane {ECO:0000250|UniProtKB:Q95250}; Single-pass membrane protein {ECO:0000255}. Smooth endoplasmic reticulum membrane {ECO:0000303|PubMed:28396637}; Single-pass membrane protein {ECO:0000255}. Mitochondrion outer membrane {ECO:0000250|UniProtKB:O55022}; Single-pass membrane protein {ECO:0000305}; Extracellular side {ECO:0000250|UniProtKB:O55022}. Secreted {ECO:0000269|PubMed:36213313, ECO:0000269|PubMed:37453717}. Note=Localized at cell membrane, probably in lipid rafts, in serum-starved conditions. {ECO:0000269|PubMed:30443021}.	O00264	0.0078107347394834	northstar-vital	0.983722153041426
O00299	CLIC1	Chloride intracellular channel protein 1 (Chloride channel ABP) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC)	TISSUE SPECIFICITY: Expression is prominent in heart, placenta, liver, kidney and pancreas. {ECO:0000269|PubMed:10793131}.	chloride transport [GO:0006821]; platelet aggregation [GO:0070527]; positive regulation of osteoblast differentiation [GO:0045669]; regulation of mitochondrial membrane potential [GO:0051881]; signal transduction [GO:0007165]	blood microparticle [GO:0072562]; brush border [GO:0005903]; chloride channel complex [GO:0034707]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; vesicle [GO:0031982]	cadherin binding [GO:0045296]; chloride channel activity [GO:0005254]	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12681486, ECO:0000269|PubMed:9139710}. Nucleus membrane {ECO:0000269|PubMed:9139710}; Single-pass membrane protein {ECO:0000305}. Cytoplasm {ECO:0000269|PubMed:10793131, ECO:0000269|PubMed:11551966, ECO:0000269|PubMed:12681486, ECO:0000269|PubMed:9139710, ECO:0000305|PubMed:11978800, ECO:0000305|PubMed:14613939}. Cell membrane {ECO:0000269|PubMed:11551966, ECO:0000269|PubMed:11940526, ECO:0000269|PubMed:14613939, ECO:0000305|PubMed:11978800}; Single-pass membrane protein {ECO:0000269|PubMed:11551966, ECO:0000269|PubMed:14613939}. Endoplasmic reticulum {ECO:0000250|UniProtKB:Q6MG61}. Note=Mostly in the nucleus including in the nuclear membrane (PubMed:9139710, PubMed:12681486). Small amount in the cytoplasm and the plasma membrane (PubMed:9139710). Exists both as soluble cytoplasmic protein and as membrane protein with probably a single transmembrane domain (PubMed:11940526, PubMed:11551966, PubMed:14613939, PubMed:12681486, PubMed:9139710). Might not be present in the nucleus of cardiac cells (By similarity). {ECO:0000250|UniProtKB:Q6MG61, ECO:0000269|PubMed:11551966, ECO:0000269|PubMed:11940526, ECO:0000269|PubMed:12681486, ECO:0000269|PubMed:14613939, ECO:0000269|PubMed:9139710}.	O00299	-0.0985002542927447	northstar-vital	0.780228388755417
O00300	TNFRSF11B	Tumor necrosis factor receptor superfamily member 11B (Osteoclastogenesis inhibitory factor) (Osteoprotegerin)	TISSUE SPECIFICITY: Highly expressed in adult lung, heart, kidney, liver, spleen, thymus, prostate, ovary, small intestine, thyroid, lymph node, trachea, adrenal gland, testis, and bone marrow. Detected at very low levels in brain, placenta and skeletal muscle. Highly expressed in fetal kidney, liver and lung.	apoptotic process [GO:0006915]; extracellular matrix organization [GO:0030198]; negative regulation of bone resorption [GO:0045779]; negative regulation of odontogenesis of dentin-containing tooth [GO:0042489]; negative regulation of osteoclast differentiation [GO:0045671]; response to arsenic-containing substance [GO:0046685]; response to estrogen [GO:0043627]; response to magnesium ion [GO:0032026]; response to nutrient [GO:0007584]; response to xenobiotic stimulus [GO:0009410]; signal transduction [GO:0007165]; skeletal system development [GO:0001501]	extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	cytokine activity [GO:0005125]; signaling receptor activity [GO:0038023]	SUBCELLULAR LOCATION: Secreted.	O00300	0.26806321941282	northstar-vital	0.665403467075912
O00303	EIF3F	Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f) (EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47)		formation of cytoplasmic translation initiation complex [GO:0001732]; IRES-dependent viral translational initiation [GO:0075522]; protein deubiquitination [GO:0016579]; proteolysis [GO:0006508]; translational initiation [GO:0006413]	cytosol [GO:0005829]; eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852]; eukaryotic translation initiation factor 3 complex, eIF3m [GO:0071541]; membrane [GO:0016020]; synapse [GO:0045202]	cysteine-type deubiquitinase activity [GO:0004843]; identical protein binding [GO:0042802]; metal-dependent deubiquitinase activity [GO:0140492]; translation initiation factor activity [GO:0003743]; translation initiation factor binding [GO:0031369]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03005}.	O00303	-1.10515406849704	northstar-vital	0.0904064631291463
O00391	QSOX1	Sulfhydryl oxidase 1 (hQSOX) (EC 1.8.3.2) (Quiescin Q6)	TISSUE SPECIFICITY: Expressed in heart, placenta, lung, liver, skeletal muscle, pancreas and very weakly in brain and kidney. {ECO:0000269|PubMed:10708601, ECO:0000269|Ref.8}.	extracellular matrix assembly [GO:0085029]; negative regulation of macroautophagy [GO:0016242]; protein folding [GO:0006457]	endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; intercellular bridge [GO:0045171]; intracellular membrane-bounded organelle [GO:0043231]; platelet alpha granule lumen [GO:0031093]; specific granule lumen [GO:0035580]; tertiary granule lumen [GO:1904724]	FAD binding [GO:0071949]; flavin-dependent sulfhydryl oxidase activity [GO:0016971]; protein disulfide isomerase activity [GO:0003756]	SUBCELLULAR LOCATION: [Isoform 1]: Golgi apparatus membrane {ECO:0000269|PubMed:17331072, ECO:0000269|PubMed:23704371}; Single-pass membrane protein {ECO:0000305|PubMed:17331072}. Secreted {ECO:0000269|PubMed:29757379}. Note=A small proportion is secreted, probably via a proteolytic cleavage that removes the membrane anchor. {ECO:0000305|PubMed:29757379}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000269|PubMed:10708601}. Note=Found in the extracellular medium of quiescent cells but is not found in proliferating cells. {ECO:0000269|PubMed:10708601}.	O00391	0.64467854385077	northstar-vital	0.4842565698679289
O00487	PSMD14	26S proteasome non-ATPase regulatory subunit 14 (EC 3.4.19.-) (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1)	TISSUE SPECIFICITY: Widely expressed. Highest levels in heart and skeletal muscle. {ECO:0000269|PubMed:9374539}.	double-strand break repair via homologous recombination [GO:0000724]; double-strand break repair via nonhomologous end joining [GO:0006303]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K63-linked deubiquitination [GO:0070536]; regulation of proteasomal protein catabolic process [GO:0061136]; response to ethanol [GO:0045471]; ubiquitin-dependent protein catabolic process [GO:0006511]	cytosol [GO:0005829]; cytosolic proteasome complex [GO:0031597]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome accessory complex [GO:0022624]; proteasome complex [GO:0000502]; proteasome regulatory particle, lid subcomplex [GO:0008541]; secretory granule lumen [GO:0034774]	endopeptidase activator activity [GO:0061133]; K63-linked deubiquitinase activity [GO:0061578]; metal ion binding [GO:0046872]; metal-dependent deubiquitinase activity [GO:0140492]; metallopeptidase activity [GO:0008237]; proteasome binding [GO:0070628]		O00487	0.32565493363532	northstar-vital	0.165994810328493
O00584	RNASET2	Ribonuclease T2 (EC 4.6.1.19) (Ribonuclease 6)	TISSUE SPECIFICITY: Ubiquitous. Higher expression levels observed in the temporal lobe and fetal brain. {ECO:0000269|PubMed:19525954}.	innate immune response [GO:0045087]; RNA catabolic process [GO:0006401]	azurophil granule lumen [GO:0035578]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; lysosomal lumen [GO:0043202]; lysosome [GO:0005764]; mitochondrial intermembrane space [GO:0005758]	ribonuclease T2 activity [GO:0033897]; RNA binding [GO:0003723]; RNA endonuclease activity [GO:0004521]; RNA nuclease activity [GO:0004540]	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:15809705, ECO:0000269|PubMed:16620762}. Lysosome lumen {ECO:0000269|PubMed:16620762}. Endoplasmic reticulum lumen {ECO:0000269|PubMed:16620762}. Mitochondrion intermembrane space {ECO:0000269|PubMed:28730546, ECO:0000269|PubMed:30184494, ECO:0000269|PubMed:30385512}. Note=Full-length RNASET2 is found in the endoplasmic reticulum while smaller RNASET2 proteolytic products are found in the lysosome fraction. {ECO:0000269|PubMed:16620762}.	O00584	0.265095273252811	northstar-vital	0.3612561986102229
O14498	ISLR	Immunoglobulin superfamily containing leucine-rich repeat protein	TISSUE SPECIFICITY: Expressed in various tissues including retina, heart, skeletal muscle, prostate, ovary, small intestine, thyroid, adrenal cortex, testis, stomach and spinal cord. {ECO:0000269|PubMed:10512678, ECO:0000269|PubMed:9325048}.	cell adhesion [GO:0007155]	extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; platelet alpha granule lumen [GO:0031093]		SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	O14498	-0.719311479643057	northstar-vital	0.318328790508354
