ProteinIds	Gene Name	Protein Description	Tissue Specificity	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Subcellular Location[CC]	Protein	Individual_Vital_28_1	Individual_Vital_29_1	Individual_Vital_30_1	Individual_Vital_31_1	Individual_Vital_32_1	Northstar_QC_P1_1	Northstar_QC_P1_2	Northstar_QC_P2_1	Northstar_QC_P2_2	Vital_QC_P1_1	Vital_QC_P1_2	Vital_QC_P2_1	Vital_QC_P2_2
P01011	SERPINA3	Alpha-1-antichymotrypsin (ACT) (Cell growth-inhibiting gene 24/25 protein) (Serpin A3) [Cleaved into: Alpha-1-antichymotrypsin His-Pro-less]	TISSUE SPECIFICITY: Plasma. Synthesized in the liver. Like the related alpha-1-antitrypsin, its concentration increases in the acute phase of inflammation or infection. Found in the amyloid plaques from the hippocampus of Alzheimer disease brains. {ECO:0000269|PubMed:3257719, ECO:0000269|PubMed:9880565}.	acute-phase response [GO:0006953]; inflammatory response [GO:0006954]; maintenance of gastrointestinal epithelium [GO:0030277]; regulation of lipid metabolic process [GO:0019216]	azurophil granule lumen [GO:0035578]; blood microparticle [GO:0072562]; collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; nucleus [GO:0005634]; platelet alpha granule lumen [GO:0031093]; secretory granule lumen [GO:0034774]	DNA binding [GO:0003677]; serine-type endopeptidase inhibitor activity [GO:0004867]	SUBCELLULAR LOCATION: Secreted.	P01011	14672351.999999814	1851350.3972052424	20371571.08732492	1297643.6784090342	5726651.170233645	5121599.163673645	1144986.5294416691	1328502.8397536098	3307823.854866068	12702279.519173214	12472818.760982009	1801530.0052075072	11434430.133710826
P01019	AGT	Angiotensinogen (Serpin A8) [Cleaved into: Angiotensin-1 (Angiotensin 1-10) (Angiotensin I) (Ang I); Angiotensin-2 (Angiotensin 1-8) (Angiotensin II) (Ang II); Angiotensin-3 (Angiotensin 2-8) (Angiotensin III) (Ang III) (Des-Asp[1]-angiotensin II); Angiotensin-4 (Angiotensin 3-8) (Angiotensin IV) (Ang IV); Angiotensin 1-9; Angiotensin 1-7; Angiotensin 1-5; Angiotensin 1-4]	TISSUE SPECIFICITY: Expressed by the liver and secreted in plasma. {ECO:0000269|PubMed:1692023}.	angiotensin-activated signaling pathway [GO:0038166]; blood vessel remodeling [GO:0001974]; cell-cell signaling [GO:0007267]; G protein-coupled receptor signaling pathway [GO:0007186]; G protein-coupled receptor signaling pathway coupled to cGMP nucleotide second messenger [GO:0007199]; kidney development [GO:0001822]; low-density lipoprotein particle remodeling [GO:0034374]; maintenance of blood vessel diameter homeostasis by renin-angiotensin [GO:0002034]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of neurotrophin TRK receptor signaling pathway [GO:0051387]; nitric oxide-cGMP-mediated signaling [GO:0038060]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; positive regulation of activation of Janus kinase activity [GO:0010536]; positive regulation of branching involved in ureteric bud morphogenesis [GO:0090190]; positive regulation of cardiac muscle hypertrophy [GO:0010613]; positive regulation of CoA-transferase activity [GO:1905920]; positive regulation of cytokine production [GO:0001819]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of epidermal growth factor receptor signaling pathway [GO:0045742]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of extracellular matrix assembly [GO:1901203]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of gap junction assembly [GO:1903598]; positive regulation of inflammatory response [GO:0050729]; positive regulation of macrophage derived foam cell differentiation [GO:0010744]; positive regulation of miRNA transcription [GO:1902895]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of protein metabolic process [GO:0051247]; positive regulation of protein tyrosine kinase activity [GO:0061098]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; regulation of apoptotic process [GO:0042981]; regulation of blood pressure [GO:0008217]; regulation of blood volume by renin-angiotensin [GO:0002016]; regulation of cardiac conduction [GO:1903779]; regulation of cell growth [GO:0001558]; regulation of cell population proliferation [GO:0042127]; regulation of extracellular matrix assembly [GO:1901201]; regulation of renal output by angiotensin [GO:0002019]; regulation of renal sodium excretion [GO:0035813]; regulation of vasoconstriction [GO:0019229]; renal system process [GO:0003014]; renin-angiotensin regulation of aldosterone production [GO:0002018]; response to angiotensin [GO:1990776]; response to muscle activity involved in regulation of muscle adaptation [GO:0014873]; vasoconstriction [GO:0042310]	blood microparticle [GO:0072562]; collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]	growth factor activity [GO:0008083]; hormone activity [GO:0005179]; serine-type endopeptidase inhibitor activity [GO:0004867]; type 1 angiotensin receptor binding [GO:0031702]; type 2 angiotensin receptor binding [GO:0031703]	SUBCELLULAR LOCATION: Secreted {ECO:0000305|PubMed:4300938, ECO:0000305|PubMed:7259779, ECO:0000305|PubMed:7539791}.	P01019	1703904.786415409	726742.2952521378	1088672.1782323697	2024413.0787497908	1012427.4952210966	1102431.661865831	571717.54449593	670692.5625107792	1312074.9203646416	1058953.9180428777	877708.5718347705	823158.0338625903	877996.5726146783
P01023	A2M	Alpha-2-macroglobulin (Alpha-2-M) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5)	TISSUE SPECIFICITY: Secreted in plasma. {ECO:0000269|PubMed:6203908}.	acute inflammatory response to antigenic stimulus [GO:0002438]; acute-phase response [GO:0006953]; embryonic liver development [GO:1990402]; luteinization [GO:0001553]; negative regulation of complement activation, lectin pathway [GO:0001869]; response to carbon dioxide [GO:0010037]; response to glucocorticoid [GO:0051384]; response to nutrient [GO:0007584]; response to prostaglandin E [GO:0034695]; stem cell differentiation [GO:0048863]	blood microparticle [GO:0072562]; collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; platelet alpha granule lumen [GO:0031093]	brain-derived neurotrophic factor binding [GO:0048403]; calcium-dependent protein binding [GO:0048306]; endopeptidase inhibitor activity [GO:0004866]; enzyme binding [GO:0019899]; growth factor binding [GO:0019838]; identical protein binding [GO:0042802]; interleukin-1 binding [GO:0019966]; interleukin-8 binding [GO:0019959]; nerve growth factor binding [GO:0048406]; protease binding [GO:0002020]; serine-type endopeptidase inhibitor activity [GO:0004867]; signaling receptor binding [GO:0005102]; tumor necrosis factor binding [GO:0043120]	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:6203908}.	P01023	761700.320999574	349145.3131666786	393471.7066276178	368522.94003373006	594044.2046654441	338181.8557303787	222959.0206599008	179611.21023057337	331671.23126730265	822875.6254879022	726629.4624131367	433186.8235988436	702935.8524367012
P01024	C3	Complement C3 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 1) [Cleaved into: Complement C3 beta chain; C3-beta-c (C3bc); Complement C3 alpha chain; C3a anaphylatoxin; Acylation stimulating protein (ASP) (C3adesArg); Complement C3b alpha' chain; Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2]	TISSUE SPECIFICITY: Plasma. The acylation stimulating protein (ASP) is expressed in adipocytes and released into the plasma during both the fasting and postprandial periods. {ECO:0000269|PubMed:15833747, ECO:0000269|PubMed:9555951}.	amyloid-beta clearance [GO:0097242]; B cell activation [GO:0042113]; complement activation [GO:0006956]; complement activation, alternative pathway [GO:0006957]; complement activation, classical pathway [GO:0006958]; complement receptor mediated signaling pathway [GO:0002430]; complement-dependent cytotoxicity [GO:0097278]; complement-mediated synapse pruning [GO:0150062]; fatty acid metabolic process [GO:0006631]; G protein-coupled receptor signaling pathway [GO:0007186]; immune response [GO:0006955]; inflammatory response [GO:0006954]; neuron remodeling [GO:0016322]; oviduct epithelium development [GO:0035846]; positive regulation of activation of membrane attack complex [GO:0001970]; positive regulation of angiogenesis [GO:0045766]; positive regulation of apoptotic cell clearance [GO:2000427]; positive regulation of G protein-coupled receptor signaling pathway [GO:0045745]; positive regulation of glucose transmembrane transport [GO:0010828]; positive regulation of lipid storage [GO:0010884]; positive regulation of phagocytosis, engulfment [GO:0060100]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of receptor-mediated endocytosis [GO:0048260]; positive regulation of type IIa hypersensitivity [GO:0001798]; positive regulation of vascular endothelial growth factor production [GO:0010575]; regulation of triglyceride biosynthetic process [GO:0010866]; response to bacterium [GO:0009617]; signal transduction [GO:0007165]; vertebrate eye-specific patterning [GO:0150064]	azurophil granule lumen [GO:0035578]; blood microparticle [GO:0072562]; cell surface [GO:0009986]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; secretory granule lumen [GO:0034774]	C5L2 anaphylatoxin chemotactic receptor binding [GO:0031715]; endopeptidase inhibitor activity [GO:0004866]; receptor ligand activity [GO:0048018]; signaling receptor binding [GO:0005102]	SUBCELLULAR LOCATION: Secreted.	P01024	6335824.750608083	1332494.6648631133	4399172.705686512	2497094.575999247	2960632.901695996	2911004.241542507	1445221.226265534	1909226.840711062	2606250.1579071474	3591769.6646670094	3537197.206995337	1945042.6057559268	3593735.344605104
P01031	C5	Complement C5 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 4) [Cleaved into: Complement C5 beta chain; Complement C5 alpha chain; C5a anaphylatoxin; Complement C5 alpha' chain]		cell surface receptor signaling pathway [GO:0007166]; chemotaxis [GO:0006935]; complement activation, alternative pathway [GO:0006957]; complement activation, classical pathway [GO:0006958]; G protein-coupled receptor signaling pathway [GO:0007186]; inflammatory response [GO:0006954]; killing of cells of another organism [GO:0031640]; negative regulation of macrophage chemotaxis [GO:0010760]; positive regulation of chemokine production [GO:0032722]; positive regulation of vascular endothelial growth factor production [GO:0010575]	extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; membrane attack complex [GO:0005579]	chemokine activity [GO:0008009]; endopeptidase inhibitor activity [GO:0004866]; signaling receptor binding [GO:0005102]	SUBCELLULAR LOCATION: Secreted.	P01031	547986.472070276	249545.25792926853	300044.57844057074	710468.8759690159	523059.6899753407	348620.26630311785	290631.19834608166	238938.68142480747	368496.42218343535	511423.8215872967	476300.4827607767	348689.5957525397	496025.1784283144
P01033	TIMP1	Metalloproteinase inhibitor 1 (Erythroid-potentiating activity) (EPA) (Fibroblast collagenase inhibitor) (Collagenase inhibitor) (Tissue inhibitor of metalloproteinases 1) (TIMP-1)	TISSUE SPECIFICITY: Detected in rheumatoid synovial fluid (at protein level). {ECO:0000269|PubMed:1730286}.	cartilage development [GO:0051216]; cellular response to UV-A [GO:0071492]; connective tissue replacement involved in inflammatory response wound healing [GO:0002248]; negative regulation of apoptotic process [GO:0043066]; negative regulation of catalytic activity [GO:0043086]; negative regulation of endopeptidase activity [GO:0010951]; negative regulation of membrane protein ectodomain proteolysis [GO:0051045]; negative regulation of metallopeptidase activity [GO:1905049]; negative regulation of trophoblast cell migration [GO:1901164]; positive regulation of cell population proliferation [GO:0008284]; regulation of integrin-mediated signaling pathway [GO:2001044]; response to cytokine [GO:0034097]; response to hormone [GO:0009725]; response to peptide hormone [GO:0043434]	basement membrane [GO:0005604]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; platelet alpha granule lumen [GO:0031093]	cytokine activity [GO:0005125]; growth factor activity [GO:0008083]; metalloendopeptidase inhibitor activity [GO:0008191]; peptidase inhibitor activity [GO:0030414]; protease binding [GO:0002020]; zinc ion binding [GO:0008270]	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:1730286, ECO:0000269|PubMed:24635319, ECO:0000269|PubMed:3010309, ECO:0000269|PubMed:3839290, ECO:0000269|PubMed:3903517, ECO:0000269|PubMed:8541540}.	P01033	3846800.5330167264	3530739.7499999604	3273792.2500000037	4674038.097330268	3855331.108349192	5680808.240991374	4338595.000000014	5815745.574539351	9494655.029088072	3659734.749999962	2838832.793061025	4864529.007598749	5746225.499999882
P01034	CST3	Cystatin-C (Cystatin-3) (Gamma-trace) (Neuroendocrine basic polypeptide) (Post-gamma-globulin)	TISSUE SPECIFICITY: Expressed in submandibular and sublingual saliva but not in parotid saliva (at protein level). Expressed in various body fluids, such as the cerebrospinal fluid and plasma. Expressed in highest levels in the epididymis, vas deferens, brain, thymus, and ovary and the lowest in the submandibular gland. {ECO:0000269|PubMed:15274116, ECO:0000269|PubMed:20189825}.	defense response [GO:0006952]; negative regulation of blood vessel remodeling [GO:0060313]; negative regulation of collagen catabolic process [GO:0010711]; negative regulation of elastin catabolic process [GO:0060311]; negative regulation of extracellular matrix disassembly [GO:0010716]; negative regulation of peptidase activity [GO:0010466]; negative regulation of proteolysis [GO:0045861]; regulation of tissue remodeling [GO:0034103]; supramolecular fiber organization [GO:0097435]	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886]; tertiary granule lumen [GO:1904724]; vesicle [GO:0031982]	amyloid-beta binding [GO:0001540]; cysteine-type endopeptidase inhibitor activity [GO:0004869]; endopeptidase inhibitor activity [GO:0004866]; identical protein binding [GO:0042802]; peptidase inhibitor activity [GO:0030414]; protease binding [GO:0002020]	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:20189825}.	P01034	2103193.716461273	8065587.766955575	4135491.395751768	6792693.941278899	4665453.446121968	5930358.281688218	1355746.3914958	2916696.554929005	4852200.363095668	2839909.825461478	3200132.515160372	1338689.6717254757	1917598.6144814808
P01116	KRAS	GTPase KRas (EC 3.6.5.2) (K-Ras 2) (Ki-Ras) (c-K-ras) (c-Ki-ras) [Cleaved into: GTPase KRas, N-terminally processed]		actin cytoskeleton organization [GO:0030036]; epithelial tube branching involved in lung morphogenesis [GO:0060441]; forebrain astrocyte development [GO:0021897]; gene expression [GO:0010467]; glial cell proliferation [GO:0014009]; homeostasis of number of cells within a tissue [GO:0048873]; MAPK cascade [GO:0000165]; negative regulation of epithelial cell differentiation [GO:0030857]; negative regulation of neuron apoptotic process [GO:0043524]; neuron apoptotic process [GO:0051402]; positive regulation of gene expression [GO:0010628]; positive regulation of glial cell proliferation [GO:0060252]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of Rac protein signal transduction [GO:0035022]; Rac protein signal transduction [GO:0016601]; Ras protein signal transduction [GO:0007265]; regulation of long-term neuronal synaptic plasticity [GO:0048169]; regulation of synaptic transmission, GABAergic [GO:0032228]; skeletal muscle cell differentiation [GO:0035914]; striated muscle cell differentiation [GO:0051146]; type I pneumocyte differentiation [GO:0060509]; visual learning [GO:0008542]	cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; focal adhesion [GO:0005925]; Golgi membrane [GO:0000139]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; plasma membrane [GO:0005886]	G protein activity [GO:0003925]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; identical protein binding [GO:0042802]; protein-containing complex binding [GO:0044877]; protein-membrane adaptor activity [GO:0043495]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22431598, ECO:0000269|PubMed:23698361, ECO:0000269|PubMed:29239724}; Lipid-anchor {ECO:0000269|PubMed:29239724, ECO:0000305|PubMed:23698361}; Cytoplasmic side {ECO:0000305|PubMed:23698361}. Endomembrane system {ECO:0000269|PubMed:29239724}. Cytoplasm, cytosol {ECO:0000269|PubMed:23698361}.; SUBCELLULAR LOCATION: [Isoform 2B]: Cell membrane {ECO:0000269|PubMed:28619714}; Lipid-anchor {ECO:0000305|PubMed:28619714}.	P01116-2												512660.0938000029	82267.77343999741
P01591	JCHAIN	Immunoglobulin J chain (Joining chain of multimeric IgA and IgM)		adaptive immune response [GO:0002250]; antibacterial humoral response [GO:0019731]; glomerular filtration [GO:0003094]; humoral immune response [GO:0006959]; immune response [GO:0006955]; innate immune response [GO:0045087]; positive regulation of respiratory burst [GO:0060267]; protein-containing complex assembly [GO:0065003]	blood microparticle [GO:0072562]; dimeric IgA immunoglobulin complex [GO:0071750]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; monomeric IgA immunoglobulin complex [GO:0071748]; pentameric IgM immunoglobulin complex [GO:0071756]; secretory dimeric IgA immunoglobulin complex [GO:0071752]; secretory IgA immunoglobulin complex [GO:0071751]	antigen binding [GO:0003823]; IgA binding [GO:0019862]; immunoglobulin receptor binding [GO:0034987]; protein homodimerization activity [GO:0042803]; protein-macromolecule adaptor activity [GO:0030674]	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:P01592}.	P01591	1532959.8328649038	957758.586750128	1108384.6807934677	1662651.1645006055	1648142.0305453255	1895360.883317643	2552258.1370398467	1233307.2527124437	2656024.2500000075	1441497.3196018203	1426760.1836801658	3263061.74999999	1732427.124765213
P01599	IGKV1-17	Immunoglobulin kappa variable 1-17 (Ig kappa chain V-I region Gal) (Ig kappa chain V-I region WEA)		adaptive immune response [GO:0002250]; immune response [GO:0006955]	blood microparticle [GO:0072562]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	P01599	1669999.3749999776	1068279.499999968			1265181.2499999818	703884.7499999924	3932391.00000001	903298.0625000309	2063663.2500000463	1066714.3750000135	1429463.5000000123	1419162.1250000424	1041757.4380000052
P01602	IGKV1-5	Immunoglobulin kappa variable 1-5 (Ig kappa chain V-I region CAR) (Ig kappa chain V-I region EU) (Ig kappa chain V-I region HK102) (Ig kappa chain V-I region Kue)		adaptive immune response [GO:0002250]; immune response [GO:0006955]	blood microparticle [GO:0072562]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	P01602	12528987.000000406	6274599.000000177	3398324.7500000205	8871104.999999788	10894242.00000003	8576511.999999981	15363085.99999994	15241349.999999732	9150108.00000007	8089843.999999936	7724277.999999876	7475333.499999845	8199520.000000233
P01619	IGKV3-20	Immunoglobulin kappa variable 3-20 (Ig kappa chain V-III region B6) (Ig kappa chain V-III region GOL) (Ig kappa chain V-III region HAH) (Ig kappa chain V-III region HIC) (Ig kappa chain V-III region IARC/BL41) (Ig kappa chain V-III region NG9) (Ig kappa chain V-III region SIE) (Ig kappa chain V-III region Ti) (Ig kappa chain V-III region WOL)		adaptive immune response [GO:0002250]; antibacterial humoral response [GO:0019731]; glomerular filtration [GO:0003094]; immune response [GO:0006955]	blood microparticle [GO:0072562]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; monomeric IgA immunoglobulin complex [GO:0071748]; pentameric IgM immunoglobulin complex [GO:0071756]; plasma membrane [GO:0005886]; secretory IgA immunoglobulin complex [GO:0071751]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	P01619	133115896.000004	35893359.99999935	108859608.0000037	69559776.00000057	117941047.99999893	90779968.00000274	40798995.99999922	89058215.99999984	89032711.9999984	80230311.99999854	78559911.99999845	46419472.0000001	82960808.00000109
P01700	IGLV1-47	Immunoglobulin lambda variable 1-47 (Ig lambda chain V-I region HA) (Ig lambda chain V-I region WAH)		adaptive immune response [GO:0002250]; immune response [GO:0006955]	blood microparticle [GO:0072562]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	P01700	33890268.00000073	18374859.9999994	24774804.00000032	28650704.000000928	18130237.999999776	31534555.999999907	9647807.999999875	32166654.00000011	30470272.00000056	21786361.999999728	23812522.000000164	25087564.000000466	24623003.999999672
P01701	IGLV1-51	Immunoglobulin lambda variable 1-51 (Ig lambda chain V-I region BL2) (Ig lambda chain V-I region EPS) (Ig lambda chain V-I region NEW) (Ig lambda chain V-I region NIG-64)		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	P01701	1536677.2499999942	357499.86291964335	1541244.9296356677	1855514.125000039	869715.6061261023	921667.823779312			782802.5450976783	732751.0815810864	813887.4299679125	622557.430147018	673395.6724382144
P01703	IGLV1-40	Immunoglobulin lambda variable 1-40 (Ig lambda chain V-I region NEWM)		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	P01703	2264165.7500000186		1536312.1250000033	2928335.4999999907	1736605.250000003	2629048.0000000345		2493036.250000092		1845846.37499995	1947805.8750000568		1408437.249999984
P01704	IGLV2-14	Immunoglobulin lambda variable 2-14 (Ig lambda chain V-II region NIG-84) (Ig lambda chain V-II region TOG) (Ig lambda chain V-II region VIL)		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	P01704	3956435.7500000615	1791911.6249999907		5535841.500000107	5471430.999999813					2604052.7500000536	2985146.250000017		2022040.625000056
P01706	IGLV2-11	Immunoglobulin lambda variable 2-11 (Ig gamma lambda chain V-II region DOT) (Ig lambda chain V-II region BOH) (Ig lambda chain V-II region BUR) (Ig lambda chain V-II region NIG-58) (Ig lambda chain V-II region TRO) (Ig lambda chain V-II region WIN)		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	P01706			1725223.3750000196			2338519.750000081	1364502.9999999537			1073962.500000032			
P01709	IGLV2-8	Immunoglobulin lambda variable 2-8 (Ig lambda chain V-II region BO) (Ig lambda chain V-II region MGC)		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	P01709	1573113.8393230934	430593.6719758381	1587571.895813793	1618695.155494986	550090.4490869668	1118619.884238314	615755.7822252491		515866.8669979458	808510.7814990086	1055267.8071756775		
P01721	IGLV6-57	Immunoglobulin lambda variable 6-57 (Ig lambda chain V-VI region AR) (Ig lambda chain V-VI region EB4) (Ig lambda chain V-VI region NIG-48) (Ig lambda chain V-VI region SUT) (Ig lambda chain V-VI region WLT)		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	P01721	898302.3414045675	242335.63112539428	595101.3470852984	780874.4133830594	424140.2198561212	587500.9263555049				189510.75911165867	245270.68962550937	273665.2135369895	243407.5418776021
P01742	IGHV1-69	Immunoglobulin heavy variable 1-69 (Ig heavy chain V-I region EU) (Ig heavy chain V-I region SIE) (Ig heavy chain V-I region WOL)		immune response [GO:0006955]; immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	P01742	2903583.4999999804				1191334.750000011	1555087.8749999693				1339622.7499999716	1326828.125000034		969280.9999999664
P01743	IGHV1-46	Immunoglobulin heavy variable 1-46 (Ig heavy chain V-I region DOT) (Ig heavy chain V-I region HG3) (Ig heavy chain V-I region Mot)		immune response [GO:0006955]; immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.	P01743	1162227.399778204		452969.9352842006	344091.406040009	637228.4549865723	619999.9178407089				712587.1214240376	624229.1694472906	276454.8411876597	465016.21357852034
